Id,News Date,Body,Source,Country,Location (LatLng),Locations,Headline,URL,Clases,Scale
11397924,2018-11-24,"Libya has three interrelated challenges, and these challenges are in the political, security and economic spheres, Libya's Minister of Planning Taher Jehami said.

Jehami was speaking on day two of the Rome 2018 Mediterranean Dialogues conference at the ""Enhancing Libya's Economy: The Complementary Path to Stabilization"" session.

It was a rare occasion where Libya's internationally-recognized Planning Minister was heard elaborating the country's economic policy.

""Whatever happens in the political sphere affects the other two"". The effect of the Palermo conference on Libya on the political situation ""will help the security and economic reforms"" that the Faiez Serraj regime is currently implementing, he added.

""Palermo may make the reunification of Libya's economic institutions, such as its Central Bank (CBL), much easier"".

The recently introduced economic reforms of the Tripoli-based Faiez Serraj Libyan government ""are only a start, but they need to be completed and need to become more comprehensive"", he explained.

""Already since their introduction in September, there have been positive results from Libya's economic reforms"".

These, Jehami explained, can be seen in four main ways: Firstly, the gap between the black-market and official foreign exchange rate has narrowed by about 20 percent.

Secondly, foreign currency is now more available to both businesses and the general public.

Thirdly, the liquidity crunch is receding, and it ""may disappear"" altogether ""in weeks"". And finally, ""prices are coming down"".

This is a good start for the economic reforms, insisted Jehami, but there is still the need for the introduction of fuel subsidy reform.

Fuel subsidies are are a drain on the country's finances, taking up 12 percent of the state budget. These could take between 18-24 months to introduce fully.

There are also hidden subsidies such as electricity tariffs that need reforming.

Jehami said that Libya needs to restructure its budget to be more productive and less consumptive.

Libya has made some cost savings such as the reduction of its diplomatic missions abroad (which ate paid in hard currency).

Jehami also confirmed that Libya no longer has a current account deficit. He also expects that the foreign exchange rate to ""stabilize"" to a level that both the CBL and private sector ""will be happy with"".

On Libya's stalled projects, he added that his government was working with the World Bank in assessing these projects. The implication is that some projects would be prioritized whilst others would be delayed or cancelled.

Jehami said that his government was also talking to the World Bank on how to spend its money, how to raise money, and how to get the private sector more involved in the economy.

Tripoli's Central Bank of Libya Governor Saddek El-Kaber insisted that there is only ""one Central Bank"" in Libya. He confirmed that the two CBL ""branches"" had agreed the terms of reference with the UN Security Council on auditing the two branches - which Faiez Serraj had requested.

However, El-Kaber said that he did not see the two CBL branches reuniting unless first, there is political reunification of the country.

CBL Board Member, Tarik Yousef (Magarief) said that Libya has come some way since 2017 when the distance in outlook and how to move forward between the CBL and the Faiez Serraj Presidency Council and Government of National Accord was wide.

He said that it was an important start and that the economic measures were long overdue.

Revealingly, he said that in his view, the secret to this success was the role of the international community - and specifically the U.S.A.

He said that Libya's institutional fragmentation was caused by its political fragmentation, but that the CBL had survived despite this political split.

He felt that the CBL was still effective and that these economic reforms were proof of that.

He hoped that the international community would shield Libya from further international interference in order to enable it to move forward.

Michael Schaffer, the World Bank's (WB) Representative in Libya revealed that the WB will open its office in Tripoli in the next few weeks.

He said that the WB will now play a more proactive role in Libya.

He explained that in 2018 the WB had succeeded in reunifying the country's budget structure and one payment authority. However, there was still expenditure outside the budget.

He explained that Libya's Ministry of Finance are trying to introduce better accountability and that the WB was helping with priority spending.

He said that it needs to impose fiscal rules to prevent overspending and needs to reintroduce financial controls for better transparency and accountability.",Libya Herald,energy,,"['Palermo', 'Libya', 'Rome', 'Tripoli']",Libya's economic reforms have been successful,https://www.libyaherald.com/2018/11/24/libyas-economic-reforms-have-been-successful/,None,
11397925,2018-11-19,"The U.S. Treasury Department has today officially listed Salah Badi, the Libya Dawn and Somoud militia commander, on its sanctions list.

The move comes after the UK announced on Friday that Badi had been added to the UN Sanctions list.

In its Friday statement the Foreign and Commonwealth Office had said:

""The UK - along with our US & French partners - has secured United Nations Security Council agreement to sanction Salah Badi under the terms of UN Security Council Resolution 2213 (2015). We will continue to hold to account those seeking to undermine stability and security in Libya.

Salah Badi is the senior commander of the Al Somood Brigade, a militia opposed to the UN-recognised Government of National Accord. He has worked consistently to undermine a political solution in Libya. In August and September 2018, Salah Badi played a leading role in heavy clashes in Tripoli in which at least 120 people were killed, most of whom were civilians.

This designation will subject Salah Badi to a travel ban and asset freeze, thereby sending a clear message from the international community that acts of violence against the Libyan people will not be tolerated. The UK will not allow those seeking to obstruct peace and stability in Libya to act with impunity.""

The move on Badi by the international community came after reports last week that Badi had led a militia attack on the Gaser Benghashir area in the south of Tripoli and Tripoli's old airport.

The move comes as part of a new policy by UNSMIL and the international community to single out Libyan ""spoilers"" of peace and stability.

It is also part of its efforts to maintain the Zawia ceasefire agreement that ended the South Tripoli militia fighting that broke out in August/September this year.

Following that ceasefire agreement the Serraj government is attempting to impose a new ""Security Arrangement"" in the capital. This entails regular non-militia security forces taking over security operations at more state institutions.",Libya Herald,energy,,"['United States', 'Libya', 'United Kingdom', 'Tripoli', 'France', 'Zawiya, Libya']",U.S. lists Salah Badi on its sanctions list,https://www.libyaherald.com/2018/11/19/u-s-lists-salah-badi-on-its-sanctions-list/,None,
11397926,2018-11-15,"The head of Libya's Presidential Council, Faiez Serraj, yesterday visited the graves of Libyans exiled to the small Italian island of Ustica, off Sicily, during the era of Italian colonisation of Libya.

Serraj had taken advantage of his presence in the Sicilian city of Palermo in southern Italy where he had attended the international conference on Libya held on 12-13 November.

Serraj visited the island's cemetery where 132 Libyan exiles were buried, laying a wreath at a plaque commemorating their memory, and reading from the Koran to call for mercy on their souls.

Serraj told Libyan media that the Libyan victims of the Italian colonial era will remain in the Libyan national memory.

He had added that what had happened during that period was a painful era in the history of the Libyan people, and many Libyans had gone through such tribulations, which were lessons that supported and entrenched the aspirations of peoples to live in a world of peace and security.

The island of Ustica has a population of 1,300 people and is about 5 kilometres across, 52 kilometres north off the main island of Sicily in the Tyrrhenian Sea.

It is estimated that about 5,000 to 6,000 Libyans were exiled by colonial Italy to various prisons in Italy between 1911 and 1943.

Many of these Libyan exiles died relatively soon after their arrival in Italian prisons from various diseases such as typhus.",Libya Herald,energy,,"['Libya', 'Italy', 'Sicily', 'Ustica', 'Palermo']",Serraj visits colonial era graves of exiled Libyans in Italy,https://www.libyaherald.com/2018/11/15/serraj-visits-colonial-era-graves-of-exiled-libyans-in-italy/,None,
11397927,2018-11-02,"Libya's main political figures visited the Italian capital Rome this week ahead of the international conference on Libya organized by Italy to be held in the Sicilian city of Palermo on 12-13 November.

The head of Libya's House of Representatives (HoR), Ageela Saleh, concluded his official visit to the Italian capital Rome at the invitation of the Italian Prime Minister Giuseppe Conte.

The official spokesperson of the HoR, Abdulla Belheeg, said that during his Rome visit Saleh met with Italian Foreign Minister Enzo Milanese and discussed with him the latest political developments and the situation in Libya and ways to reach a solution to end the current crisis in Libya ahead of the Palermo conference on Libya.

Saleh also met with Roberto Fico, Speaker of the Italian House of Representatives.

The Deputy head of Libya's Presidential Council, Ahmed Maetig, was also in Rome on Wednesday where he met on with Italian Foreign Minister Enzo Milanese. Preparations for the Palermo conference were also discussed between the two.

The head of the Libya's High State Council, Khaled al-Mishri, also met on Wednesday with Italian Foreign Minister Enzo Milanese in Rome, during which the they discussed preparations for the Palermo conference.

The visits follow on from the Rome visit by Khalifa Hafter on Sunday.",Libya Herald,energy,,"['Palermo', 'Rome', 'Libya', 'Italy', 'Sicily', 'Milan']","Saleh, Maetig and Mishri visit Rome ahead of Palermo Libya conference",https://www.libyaherald.com/2018/11/02/saleh-maetig-and-mishri-visit-rome-ahead-of-palermo-libya-conference/,None,
11397928,2018-11-01,"The head of Libya's internationally recognised Presidency Council, Faiez Serraj, called on the Security Council's Sanctions Committee to partially lift its arms embargo and the freezing of Libya's funds abroad.

Serraj made the call during his meeting with the UN Sanctions Committee his office in Tripoli today.

Serraj welcomed the Committee's visit to Libya stressing the importance of such meetings in exchanging views and in identifying the reality of the economic, political and security conditions that Libya is experiencing at this sensitive stage and what Libyan citizens are suffering as a result of these conditions.

Serraj stressed the importance of a comprehensive review of the UN sanctions imposed on Libya and of the viability of their continuation.

He stated that the UN sanctions have become an impediment to the progress of the economy and the start of the development process.

Serraj requested that the UN Sanctions Committee considered the possibility of allowing Libya to manage its frozen funds abroad rather than lifting the freeze on them.

He said that this would allow his internationally-recognized Government of National Accord to fulfil its obligations in providing services to its citizens and to make its economic reform programme a success.

With regards to the issue of security within Libya, Serraj highlighted the security arrangements that have been put in place in Tripoli, which are scheduled to be extended to other cities, and called for a partial lifting of the arms embargo in support of these efforts, in addition to combating terrorism and illegal immigration.

Serraj, without mentioning Khalifa Hafter by name, explained to the Sanctions Committee that there were those in Libya who were provided with arms and money illegally, while restrictions were being imposed on his legitimate government of Libya.

He pointed to the reports of the Sanctions Committee as a testament to all the sanctions violations in recent years.",Libya Herald,energy,,"['Libya', 'Tripoli']",Serraj calls on UN Sanctions Committee to partially lift Libya arms embargo and asset freeze,https://www.libyaherald.com/2018/11/01/serraj-calls-on-un-sanctions-committee-to-partially-lift-libya-arms-embargo-and-asset-freeze/,None,
11397929,2018-10-23,"The personal spokesperson for Faiez Serraj, the head of Libya's internationally-recognized Presidential Council, Mohamed El-Sallak, confirmed Serraj's full support for the unification of Libya's military institution, and his continuous follow-up of this important negotiating process with the Government of National Accord-aligned army officers.

El-Sallak was speaking during Monday's press conference held at the Media Center of the Prime Minister's office in Tripoli.

He also spoke about the latest security arrangements, economic reform, a cabinet reshuffle and the Palermo Libya conference planned by Italy next month.

El-Sallak had failed to hold a press conference for weeks, most notably during the south Tripoli militia fighting.

Sallak said that Serraj stressed the emphasis on reaching a final agreement on the unification of Libya's military, which requires clarification of the status of the civil authority represented by the Supreme Commander of the Army and its powers. Serraj is currently the Supreme Commander of the Tripoli-based Libyan Army.

Sallak said that negotiations were still ongoing until a final agreement is reached, stressing that the matter of the unification of institutions, especially sovereign ones, is inseparable from a comprehensive Libyan political solution.

While not mentioning him by name, Sallak was reacting to comments by Khalifa Hafter's own spokesperson, Ahmed Mesmari, who had briefed about considerable progress being made at the Cairo Libyan army reunification talks.

Mesmari had implied that it was agreed at the talks that Hafter and his mainly eastern-based Libyan National Army (LNA) would be the main ""facade"" of the new unified army.

Sallak was keen to downplay these Mesmari statements, implying that these were simply renegotiating positions - until a comprehensive final agreement is reached.

Serraj was sending a clear message to the LNA and it's commander Khalifa Hafter that any new unified national Libyan army must be democratically accountable under a civilian executive.

A 4,000-word document proporting to be a secret draft of what was agreed in the Cairo meetings was leaked yesterday. It contained huge details, including a main role for Hafter and his LNA in the new unified army. This still, however, does not prove that it was agreed upon by both parties.

Security Arrangements

With regard to the ""Security Arrangements"", Sallak confirmed the completion of the final security arrangements plan and its entry into force in consultation and coordination with all parties.

Sallak was referring to the security arrangements agreed after the Zawia ceasefire agreement between the warring militias in south Tripoli at the end of August and early September this year.

The ""security arrangements"" refers to the terms of the Libyan Political Agreement (LPA) signed in the Moroccan city of Skhirat in December 2015 (LPA) whereby militias are suposed to remove their heavy weapons from urban centres. They also have the option of joining a non-militia-based accountable police or army.

There have been reports of a number of meetings between the Faiez Serraj authorities UNSMIL and militia leaders in which they have allegedly agreed to some sort of reform.

These include vacating their bases and handing over the security operations at a number of state locations.

It's not clear how inclusive these militia meetings were and how far militias have agreed to being totally decommissioned.

Economic reform

With regard to economic reforms, El-Sallak said that the Presidential Council is following up on the implementation of the economic reforms approved in coordination with the Tripoli-based Central Bank of Libya.

These include reforming the process of opening documentary letters of credit at the official exchange rate, the performance of commercial banks in facilitating the sale of foreign currency at the new exchange rate and their application of new procedures.

El-Sallak pointed out that the coming period will see the treatment of the issue of fuel subsidies to complement the implementation of the package of measures to reduce the burden on the national economy and combat smuggling.

Ministerial reshuffle

With regards to the political dossier, El-Sallak revealed tha Serraj will continue what he referred to as his ""political reforms"" through a forthcoming ministerial reshuffle, in order to complement the earlier ministerial changes.

It will be recalled that Serraj had announced a ministerial reshuffle on 7 October, appointing two new controversial ministers at Interior and Economy.

The House of Representatives (HoR) had condemned the appointment of new Economy Minister Issawi, who has been implicated in the assassination of the commander of the anti-Qaddafi forces during the 2011 Libyan revolution, Abdelfatah Younis.

It will also be recalled that the HoR and the High State Council (HSC) have recently reached an agreement on the mechanism for restructuring the Serraj-led Presidency Council (PC).

When asked by journalists to comment about the HoR-HSC plan to restructure the PC, El-Sallak declined, adding that he recognized their authority under the terms of the LPA to restructure the PC and that the PC will continue to work normally in the meanwhile.

Most Libya analysts expect Serraj to be replaced in the jew slimline 3-member Presidency Council. Serraj's ministerial reshuffle is seen as an attempt to delay or cancel this planned restructuring.

Libya November Palermo conference

With regards to the Palermo Libya Conference planned for November, El-Sallak confirmed that Serraj had received an official invitation from his Italian counterpart to attend the conference.

El-Sallak said that Serraj was committed to the need to produce concrete, positive results, translated into practical steps on the ground leading to a comprehensive political settlement to resolving the Libyan crisis.

Replying to questions from journalists regarding the demolition of the Tripoli Girl's Military Academy compound, Sallak claimed that the decision to demolish it was done ""in coordination with Tripoli Municipality"".

The former Girl's Military Academy is located in a prime downtown Tripoli location overlooking the Mediterranean sea. Since the 2011 revolution it has been used as a militia base.

Whilst Tripoli residents were pleased that the Nawasi militia had vacated it, they were puzzled by why all the buildings within it, estimated to be worth millions, were being demolished without any public debate.

However, when pressed by journalists and informed that Tripoli Municipality had claimed that they had demolished the buildings at the site on instructions from the Serraj PC, Sallak said that he would check and get back to the media on the matter.

Mysteriously, El-Sallak failed to make any comment whatsoever on the recent Tripoli militia assassinations nor the insecurity in the south of Libya.

PC refutes reaching final agreement on army reunification

Serraj invited by Italy to Palermo Libya conference

HoR welcomes HSC approval of mechanism for restructuring PC, introduces its own amendments

Serraj Ministry of Interior says militias ready to handover security of state institutions

HoR denounces Serraj appointment of Issawi as Economy Minister

Serraj conducts controversial ministerial reshuffle",Libya Herald,energy,,"['Palermo', 'Tripoli', 'Libya', 'Cairo', 'Skhirat', 'Zawiya, Libya', 'Morocco', 'Italy']","Serraj reveals further ministerial reshuffle, supports army reunification and wants real solutions at Palermo conference",https://www.libyaherald.com/2018/10/23/serraj-reveals-further-ministerial-reshuffle-supports-army-reunification-and-wants-real-solutions-at-palermo-conference/,None,
11397930,2018-09-18,"Faiez Serraj, head of the Presidential Council and Government of National Accord, met with the heads of (reportedly) more than 50 western-based municipal and local councils in an open dialogue on the general situation and the repercussions of the bloody clashes in the southern suburbs of Tripoli over the last month.

After opening the meeting with a minute's silence in mourning for the victims of the armed militia clashes and the recent terrorist attack on the Tripoli headquarters of the National Oil Corporation, Serraj delivered a speech in which he reviewed the measures taken in coordination with UNSMIL for the south Tripoli ceasefire and in initiating new Tripoli security measures (the Security Arrangements).

Serraj said that these new security measures would not be limited to Tripoli but would extend to other cities too.

Speaking in a rarely seen animated and tough tone, Serraj stressed that the issue is not just clashes between armed elements (militias), but even more so there are parties in the background who direct the elements on the ground and work in all ways and by all means to bring down the (Skhirat Libyan Political Agreement) consensus and now work ""to ignite a war in the capital which we will never allow"".

Serraj warned that whoever violates the ceasefire agreement ""will face a critical response both domestically and internationally"". However, as per usual, he gave no specifics.

Serraj stressed that things will not continue as they had in the past and that what happened to the capital (the militia fighting) is a dividing line (in the sand) between what preceded and what follows.

Referring to the outcomes of the May Paris meeting, including the holding of elections on a sound constitutional basis at the end of December this year, ending the transitional stages of its current institutions, provided that the House of Representatives (HoR) had submited the referendum law on the permanent constitutional by September 16 - Serraj said that so far the HoR had not kept to the Paris agreement.

The HoR also failed, Serraj added, to implement the other outcomes of the Paris agreement such the gradual dissolution of parallel bodies and the creation of the (right) atmosphere and non-escalation. Serraj added that ""some"" (in effective political positions) insist on keeping the status quo in fear of losing their positions and privileges.

On the economic situation, Serraj Said that he had hoped that the Central Bank of Libya would have been united in order to agree on a single monetary policy, and that he had tried to achieve such unity, but that the suffering of Libyan citizens no longer allowed for the luxury of waiting.

As a result, he said that he took the responsibility and issued a decision to launch the economic reforms after he had given up on the response of the HoR which was divided.

On the allegations of financial irregularities in the Central Bank of Libya and his government, Serraj said he had taken the initiative and officially asked the UN Security Council to form an international committee under the supervision of the United Nations to inspect the dealings of the Central Bank of Libya in Tripoli and Beida and other parallel bodies and to clarify the reality of the financial situation in the country as a whole.

Serraj stressed that he would not stand helpless before the bureaucracy and obstructers and that his administration will take the necessary decisions that will bring the country out of the current crisis for good, stressing that what is coming next will be decisive and will be better.",Libya Herald,energy,,"['Tripoli', 'Skhirat', 'Paris', 'Libya']",Serraj talks tough on security - but can he back it up?,https://www.libyaherald.com/2018/09/18/serraj-talks-tough-on-security-but-can-he-back-it-up/,None,
11397931,2018-09-06,"Ghassan Salame, SRSG and UNSMIL head, talked tough yesterday during his latest Libya

brief to the UN Security Council. Using language and frankness not heard from him before, he called out Libya's militias, HoR and HSC members.

Salame admitted that what has existed in Tripoli was merely a ''façade of calm'' and that the capital ''stood on brink of all-out war''. He said that UNSMIL will not allow the militias to repeat their 2014 military actions against the capital nor will it allow a return to the militia/security ''status quo ante''. He also admitted that Libya has been lurching from ''one emergency to another''.

The UNSMIL head also admitted that the ''previous arrangements empowered'' militias. However, he felt that the latest militia crisis may offer an opportunity to tackle the ''real causes'' of the latest militia fighting and to ''reduce the influence of armed groups'' that have been legitimized, and enshrined and appeased by the Libyan political process since 2011.

He warned that ISIL presence and operations in Libya were spreading and called for the urgent implementation of the Libya's promised economic reforms.

But Salame saved his strongest remarks for the House of Representatives (HoR) and High State (HSC) Council. He said that the HoR was resisting change and failing to do its job, and together with the HSC, were attempting to ''ensure their longevity''. He warned, however, that Libya's political elite could be by-passed in the political process.

He also took a swipe at the international community, widely considered to be France and Italy, for their politicking and called on them to unify their positions on Libya.

I would like to congratulate the United States of America on its presidency of the Council this month and thank you for this opportunity to update the Council.

Mr President, Members of the Council

In each and every briefing I have given to this Council, I have stated that the status quo in Libya is untenable.

The violence that consumed the Capital beginning 26 August shattered the façade of calm that had prevailed in Tripoli since May 2017.

Tanks and heavy artillery were deployed into residential neighborhoods. 61 Libyans were killed and 159 injured. Many of those who died were civilians, including children. Families were forced to flee their homes. Looting and crime became common place as gangs took to the streets. Hundreds of criminals broke out of prison. Migrants were either trapped in detention centers, or turned onto the street.

The City stood on the brink of all-out war.

On 4 September, the Mission brokered a ceasefire between the major parties to the conflict. This has effectively halted the fighting and started the restoration of some order to the city.

The Mission is now working to protect this fragile peace and enable it to take root. As a first step, we are offering technical assistance and good offices in support of the ceasefire.

Groups that violate the ceasefire must be held to account. The United Nations and the international community are watching them one by one. The time for impunity is behind us.

This outbreak of violence is but the latest in a series of crises that have engulfed Libya. The events surrounding the Oil Crescent region in June and July effectively threatened to split the country. In the past short weeks, the nation has lurched from one emergency to another.

On 10 August, armed groups forcibly evicted displaced Tawerghan families from the Tariq al-Matar IDP Camp. Some Tawerghans were killed and injured, homes were demolished and these Libyans were forced to flee, leaving them homeless for a second time in seven years. Despite the welcome return of several more families to Tawergha, totaling approximately 100 families at the end of August, basic infrastructure and services are still lacking, making a dignified return very difficult. We warned all armed groups against any repetition of this totally unlawful behavior. Forced displacement of people is unacceptable, and of those already displaced, doubly so. This was made clear to all those tempted by it.

After the horrendous attack on the High National Elections Commission of 2 May, on 23 August, ISIL claimed responsibility for an attack near Zliten, which claimed the lives of four police officers. ISIL presence and operations in Libya are only spreading. I alert this Council of the possibility that Libya may become a shelter for terrorist groups of all persuasions and ask the Council to help address with this looming threat.

In recent weeks, Chadian Government and Chadian opposition forces have been fighting, operating from Southern Libya. Over 1,000 fighters have been involved in the hostilities, risking the South becoming a regional battle ground and safe haven for foreign armed groups, including terrorist organizations. The recent Agreement signed between Chad, Sudan, Niger and Libya needs to be implemented so Libya does not also become an alternative battleground for others. The signatories have asked for support from the International Community for the implementation of these agreements, and I hope that Council members will positively consider their request.

In the Eastern city of Derna, sporadic clashes and air raids continue. The UN is facilitating humanitarian assistance to affected families in the city. I reiterate my call upon all parties to exercise restraint and protect the lives of innocent civilians.

Abuse and exploitation abound within prisons and detention centers, which we continue to have great difficulty accessing, both in the East and West. Refugees and asylum seekers in detention centres have resorted to hunger strikes as a means to resolve their bleak living circumstances.

This situation should however not be used as an excuse for any armed group to open the gates to terrorists and criminals interned in one location, to displace them to other locations.

All the while, the citizens of the country suffer deteriorating standards of living, as they have for the last years. Now, for many, every day is a personal emergency.

In crisis, lies the opportunity to tackle the underlying causes.

To restore stability to Libya, there is an urgent need to establish strong and unified civilian and military institutions, which work for the benefit of all citizens.

The Mission is now focusing its work in two intertwined areas:

First, and in order to underpin the ceasefire, we are working to revise the security arrangements in Tripoli in order to reduce the influence of groups who use arms to achieve their parochial goals.

In the coming days UNSMIL will continue to hold broad consultations to strengthen the ceasefire and assist in the establishment of a monitoring mechanism. At the same time, we will continue to work with our Libyan counterparts to identify concrete steps towards reshaping security in the Capital and develop more sustainable arrangements.

UNSMIL will endeavour to facilitate this effort in an inclusive and pragmatic fashion, laying the foundations for longer term efforts to stabilize the country, through the reunification of the security sector institutions.

The previous security configuration empowered groups who acted in a predatory manner against the residents of the capital, against the state, and against sovereign institutions.

Indeed, members of some armed groups nominally acting under the Ministry of Interior have kidnapped, tortured and murdered employees of sovereign institutions, including the National Oil Corporation and the Libyan Investment Authority.

Our public criticism of the predatory behavior of armed groups in the capital was warmly welcomed by Libyans, who are fed up with living on the poverty line whilst their national resources are looted by gunmen-turned-millionaires. Our stand has produced a salutary impact in many cases. This state capture must end, but not to benefit of other armed groups, but to the full control of the legitimate authorities. Your support on this is crucial.

Mr President,

The Mission's second priority is to address the economic issues which underpin the crisis and erode the daily lives of citizens across the country. I would like to state plainly that if an end is not put to the plundering, there is little chance that we can move either the economic reforms or the political process.

We urge action on the agreed upon economic reforms which are essential, and overdue. I call upon the Central Bank of Libya and the Government of National Accord to immediately move forward on currency exchange rate and subsidy reforms.

We are also committed to advocating for a more equitable distribution of wealth in Libya, focused not on appeasing groups based on their military strength, but on providing for citizens based on their need.

UNSMIL believes that the request from Prime Minister Fayez Serraj for international support for a financial review is a valuable opportunity to bring transparency and accountability to how the country's wealth is managed.

In response to the Security Council's request of 19 July to the Mission to provide suggestions on the modalities of such a review, I have been engaged with Libyan and international partners.

I convened the Governor of the internationally-recognised Central Bank of Libya in Tripoli and the head of the parallel Central Bank in the East for a meeting at the UNSMIL office to agree on the broad parameters of the review. On 24 August, the Secretary-General submitted to this Council my proposals for how to proceed.

This preliminary process has created hope, with many Libyans welcoming the meeting of the two officials, something that has not happened in the past four years. This was a first step towards unifying the Central Bank, which in turn is a crucial step towards unifying the country.

Mr President, Members of the Council,

When the political process grinds to a halt, some will believe there is opportunity to force change through the barrel of a gun.

The Libyan public has made a clear decision on how this change should come to pass - peacefully and democratically through elections. This was widely reflected during the National Conference consultations - a report on which is currently being prepared.

It should come as no surprise that the Libyans want change in their political leadership. The members of the House of Representatives were elected over four years ago by around fifteen percent of the population. The members of the High Council of State, which represents a fraction of the members of the General National Congress, were elected six years ago. The Government of National Accord assumed their roles not through elections, but by appointment, and many of them have been inactive for a long while.

For National elections to take place a number of conditions must be met. They will require great effort to achieve; but they are achievable. The United Nations is working hard to put these conditions in place, and thanks the international community for its support.

Time and time again, the House of Representatives has promised to produce referendum and election legislation. After three sessions dedicated to the referendum law, and numerous delays, the House of Representatives has failed to deliver this legislation. Those who have an interest in maintaining the status quo have spared no efforts to resist the needed change.

I will not mince words. Many members of the House of Representatives are failing to do their job. They seek to subvert the political process to their own ends, behind the guise of procedure. It is clear; they simply have no intention of relinquishing their positions. They have put in place legal provisions to maintain their authority in perpetuity.

And for the personal ambitions of a few, all Libya's citizens have paid a steep price.

I welcome any rapprochement between the two Houses and take note of their recent meetings in Tripoli, but this activity must be directed to advance the political process, not to ensure their own longevity.

In line with instructions from the United Nations Secretary-General, I have been exhausting the traditional avenues to move the legislative process forward. So far, they have either been blocked or they are designed to lead nowhere.

If legislation is not produced soon, we will close the chapter on this approach. There are other ways to achieve peaceful political change, and we will embrace them with no hesitation, indeed with enthusiasm.

Mr President, Members of the Council

I am fully aware that the members of this Council are not mere spectators to the Libyans crisis, and want it over as soon as possible. Their unified, determined and vocal position is what the Libyans need to hear, if the citizens of this country are to enjoy the peace and tranquility they are desperately looking for.",Libya Herald,energy,,"['Tripoli', 'Libya', 'Chad', 'Derna, Libya', 'Zliten', 'United States', 'Sudan', 'Niger', 'Italy', 'France']",Salame talks tough in his latest Libya brief to UNSC,https://www.libyaherald.com/2018/09/06/salame-talks-tough-in-his-latest-libya-brief-to-unsc/,None,
11397932,2018-07-19,"Head of Libya's Presidency Council, Faiez Serraj, called on the international community to present a unified stance towards Libya, to push for early elections and to push the House of Representatives to stop obstructing the political process.

Speaking in Tunis yesterday, Serraj presented what he saw as his demands for resolving Libya's current political crisis at a meeting with ambassadors of the major powers, the UN envoy and the EU representative.

These included ambassadors and representatives of the United States of America, the United Kingdom, Italy, France, Germany, Russia, China, the UN envoy and the EU representative.

Serraj presented his requirements for resolving the Libyan crisis and the pivotal role of the major powers in stabilizing Libya, which he said was essential for the stability of the region and the world.

Serraj gave a brief account of the political, security and economic outlines of the Libyan crisis and the political and institutional division of the country, which have adversely affected the livelihood of the citizens.

He also summarised the efforts that have been made to reach reconciliation in Libya, saying that, ""Whenever we step towards reconciliation we find a way backwards "". He noted how the Paris conference in May this year had been the latest attempt at consensus, with divergent international positions, saying that some of those attending the conference had exploited that disparity to sift through its decisions and renege on their commitments. He pointed out that there were also serious breaches of what was agreed in Paris, as was the case in the recent oil ports (the handing over of the eastern oil ports by Hafter and his LNA to the NOC in eastern Libya).

Serraj said that the political divide in Libya would not have continued if the obstructionists found a decisive, resolute and unified international stance. He added that negative interventions from regional and international states were extending the life of Libya's current situation, where the spoilers relied on the contradiction of international positions, noting that there were states that are biased in favour of some parties to the conflict, and some even provide arms to some of those parties - despite embargoes.

He reiterated that a resolute and unified international stance was required to cut-off the road to the divisive scenario.

Serraj said that patience was beginning to wear thin in Libya towards the inaction of the international community, which had lost much of its credibility on the Libyan street, often deliberately pursuing a policy of double standards.

Serraj went on to reiterate the need for parliamentary and presidential elections to be held concurrently and as soon as possible, with an emphasis on the establishment of a valid and expeditious constitutional rule. He also said that now was the time to think of ""out of the box"" solutions to end the continuing and growing obstruction by the Tobruk-based House of Representatives.",Libya Herald,energy,,"['Libya', 'Paris', 'Tunis', 'United States', 'Russia', 'Italy', 'United Kingdom', 'France', 'Germany', 'China']",Serraj calls for a unified Libya stance by international community,https://www.libyaherald.com/2018/07/19/serraj-calls-for-a-unified-libya-stance-by-international-community/,None,
11397933,2018-07-06,"Nearly a week after the unconfirmed report of an attack on the house of Presidency Council (PC) Deputy Fathi al-Majbari, PC head Faiez Serraj confirmed the incident and condemned it. He had been criticised for failing to comment on the incident which had led Majbari to temporarily seek sanctuary in Tunis.

Majbari, who represents the eastern region of Libya in the PC, had claimed that there was an attempt to kidnap or assassinate him in Tripoli as a result of his support for Khalifa Hafter and the Libyan National Army (LNA).

Majbari has spoken up for Hafter and the LNA for their role in initially ejecting Ibrahim Jadran from the eastern oil crescent and for his recent re-ejection too. Majabari felt that the anti-Hafter wing have not acknowledged Hafter's role in Libya's increased oil production of up to one million barrels per day since Jadran was ejected from the oil crescent.

At Tuesday's weekly press conference, Serraj's official spokesperson, Mohamed El-Sallak said that Serraj ''categorically rejected such acts and offered his total condemnation of the attack and what disruption it had caused to the (political and security) scene and damage to the reconciliation path.

Sallak stressed Serraj's ''keenness on the security and safety of Al-Majbari and his companions, and the members of the Presidential Council and the entire Government of National Accord and their need to exercise their work unhindered''.

The incident, nevertheless, highlights the precarious nature of security in Tripoli and the limits of the control and ability of the Serraj PC/GNA when it comes to security in the capital Tripoli.",Libya Herald,energy,,"['Tripoli', 'Libya', 'Tunis']",Serraj confirms and condemns Tripoli attack on PC member Majbari,https://www.libyaherald.com/2018/07/06/serraj-confirms-and-condemns-tripoli-attack-on-pc-member-majbari/,None,
